"Original Name","Hostname","STIG"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-1_IE 11 STIG_V2R4","NMS-1","IE 11 STIG_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-1_MS Defender Antivirus_V2R4","NMS-1","MS Defender Antivirus_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-1_MS Dot Net Framework_V2R2","NMS-1","MS Dot Net Framework_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-1_MS Edge STIG_V1R7","NMS-1","MS Edge STIG_V1R7"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-1_Windows Firewall with Advanced Security_V2R2","NMS-1","Windows Firewall with Advanced Security_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-1_Windows Server 2016 STIG_V2R7","NMS-1","Windows Server 2016 STIG_V2R7"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-2_IE 11 STIG_V2R4","NMS-2","IE 11 STIG_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-2_MS Defender Antivirus_V2R4","NMS-2","MS Defender Antivirus_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-2_MS Dot Net Framework_V2R2","NMS-2","MS Dot Net Framework_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-2_MS Edge STIG_V1R7","NMS-2","MS Edge STIG_V1R7"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-2_Windows Firewall with Advanced Security_V2R2","NMS-2","Windows Firewall with Advanced Security_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-2_Windows Server 2016 STIG_V2R7","NMS-2","Windows Server 2016 STIG_V2R7"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_SW-187P-A_Cisco IOS-XE Router NDM STIG_V2R8","SW-187P-A","Cisco IOS-XE Router NDM STIG_V2R8"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_SW-187P-A_Cisco IOS-XE Router RTR STIG_V2R9_2023-11-08","SW-187P-A","Cisco IOS-XE Router RTR STIG_V2R9"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_SW-187S-A_Cisco IOS-XE Router NDM STIG_V2R8","SW-187S-A","Cisco IOS-XE Router NDM STIG_V2R8"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_SW-187S-A_Cisco IOS-XE Router RTR STIG_V2R9_2023-11-08","SW-187S-A","Cisco IOS-XE Router RTR STIG_V2R9"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_WSUS-1_IE 11 STIG_V2R4","WSUS-1","IE 11 STIG_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_WSUS-1_MS Defender Antivirus_V2R4","WSUS-1","MS Defender Antivirus_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_WSUS-1_MS Dot Net Framework_V2R2","WSUS-1","MS Dot Net Framework_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_WSUS-1_Windows Firewall with Advanced Security_V2R2","WSUS-1","Windows Firewall with Advanced Security_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_WSUS-1_Windows Server 2016 STIG_V2R7","WSUS-1","Windows Server 2016 STIG_V2R7"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_WSUS-2_IE 11 STIG_V2R4","WSUS-2","IE 11 STIG_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_WSUS-2_MS Defender Antivirus_V2R4","WSUS-2","MS Defender Antivirus_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_WSUS-2_MS Dot Net Framework_V2R2","WSUS-2","MS Dot Net Framework_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_WSUS-2_Windows Firewall with Advanced Security_V2R2","WSUS-2","Windows Firewall with Advanced Security_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_WSUS-2_Windows Server 2016 STIG_V2R7","WSUS-2","Windows Server 2016 STIG_V2R7"
