"title","date","link"
"Cisco ASA STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Cisco_ASA_Y23M10_STIG.zip"
"Cisco IOS Router STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Cisco_IOS_Router_Y23M10_STIG.zip"
"Cisco IOS Switch STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Cisco_IOS_Switch_Y23M10_STIG.zip"
"Kubernetes STIG - Ver 1, Rel 11 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Kubernetes_V1R11_STIG.zip"
"Cisco IOS XE Switch STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Cisco_IOS-XE_Switch_Y23M10_STIG.zip"
"Cisco IOS XR Router STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Cisco_IOS-XR_Router_Y23M10_STIG.zip"
"Oracle Linux 8 STIG for Ansible - Ver 1, Rel 8 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Oracle_Linux_8_V1R8_STIG_Ansible.zip"
"Canonical Ubuntu 20.04 LTS STIG Benchmark - Ver 1, Rel 8 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_CAN_Ubuntu_20-04_LTS_V1R8_STIG_SCAP_1-2_Benchmark.zip"
"IBM zOS STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_IBM_zOS_Y23M10_STIG.zip"
"Cisco NX OS Switch STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Cisco_NX-OS_Switch_Y23M10_STIG.zip"
"Red Hat Ansible Automation Controller STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_RH_Ansible_Automation_Controller_Y23M10_STIG.zip"
"Red Hat Enterprise Linux 7 STIG - Ver 3, Rel 13 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_RHEL_7_V3R13_STIG.zip"
"Red Hat Enterprise Linux 7 STIG Benchmark - Ver 3, Rel 13 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_RHEL_7_V3R13_STIG_SCAP_1-2_Benchmark.zip"
"Red Hat Enterprise Linux 7 STIG for Ansible - Ver 3, Rel 13 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_RHEL_7_V3R13_STIG_Ansible.zip"
"Red Hat Enterprise Linux 8 STIG Benchmark - Ver 1, Rel 11 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_RHEL_8_V1R11_STIG_SCAP_1-2_Benchmark.zip"
"Red Hat Enterprise Linux 8 STIG for Ansible - Ver 1, Rel 12 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_RHEL_8_V1R12_STIG_Ansible.zip"
"Red Hat Enterprise Linux 8 STIG for Chef - Ver 1, Rel 12 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_RHEL_8_V1R12_STIG_Chef.zip"
"IBM AIX 7.x STIG - Ver 2, Rel 9 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_IBM_AIX_7-x_V2R9_STIG.zip"
"TOSS 4 STIG Benchmark - Ver 1, Rel 2 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_TOSS_4_V1R2_STIG_SCAP_1-2_Benchmark.zip"
"Oracle Linux 8 STIG Benchmark - Ver 1, Rel 7 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Oracle_Linux_8_V1R7_STIG_SCAP_1-2_Benchmark.zip"
"Canonical Ubuntu 20.04 LTS STIG - Ver 1, Rel 10 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_CAN_Ubuntu_20-04_LTS_V1R10_STIG.zip"
