"Computer         ","Status","V-100093","V-63323","V-63345","V-63351","V-63355","V-63357","V-63359","V-63361","V-63363","V-63367","V-63371","V-63393","V-63399","V-63545","V-63587","V-63595","V-63599","V-63685","V-63739","V-68845","V-74413","V-76505","V-77085","V-77091","V-77095","V-77097","V-77101","V-77103","V-77189","V-77191","V-77195","V-77201","V-77205","V-77209","V-77213","V-77217","V-77221","V-77223_a","V-77223_b","V-77223_c","V-77227","V-77231","V-77233","V-77235","V-77239","V-77243","V-77245","V-77247","V-77249","V-77255","V-77259","V-77263","V-77267","V-77269","V-88203","V-94861","V-99563","PSComputerName","RunspaceId","PSShowComputerName"
"BDSCNBN160SA31B","Online","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Fail","Fail","","Fail","Error","Error","Fail","Fail","Fail","Pass","Error","Fail","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","localhost","2c9e8b0d-e96a-4696-825b-d3bda778344d","False"
"BDSCNBN160SAACF","Online","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","localhost","15e6c754-cbb5-4ab3-b498-749cdca296c7","False"
"BDSCNBN160SA41F","Online","Error","Fail","","Fail","N/A","Pass","Error","Fail","Pass","Error","Error","","Fail","Fail","","Fail","Error","Error","Fail","Fail","Fail","Fail","Error","Fail","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Fail","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Fail","Error","Error","localhost","c87e0d4f-39c5-4900-b07b-51f7079c60a9","False"
"BDSCNBN160SAF38","Online","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","localhost","7680cf1b-ad13-4113-a8b9-47d335092a47","False"
"BDSCNBN160SFFD5","Online","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","localhost","83f53bc9-d83f-4196-9051-4c824a7d97b0","False"
"BDSCNBN160SB05A","Online","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Fail","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","localhost","6de1c7f3-76ab-4e63-a605-e1cf53cc3ab0","False"
"BDSCNBN160SA5CA","Online","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","localhost","8a875e59-dee2-4795-9529-ece9041093d5","False"
"BDSCWKN160S6C51","Online","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","localhost","9146e442-1f90-4ced-842a-8c3c41d450de","False"
"BDSCNBN160SADE1","Online","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","localhost","ba208a44-4c49-4b5b-a186-be336ec5d991","False"
"BDSCNBN160SAF2D","Online","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","localhost","e929b473-af94-45d7-b939-198a7091f715","False"
