"Computer         ","Status","V-63323","V-63337","V-63345","V-63351","V-63355","PSComputerName","RunspaceId","PSShowComputerName"
"BDSCNBN160SA312","Online","Pass","Fail","Pass","Pass","Pass","localhost","a073349e-3221-4cee-a23d-2316e0787485","False"
"BDSCNBN160SFFD5","Online","Pass","Fail","Pass","Pass","Pass","localhost","be49ff07-c37a-4609-8150-f306173bae81","False"
"BDSCWKN160S45E1","Online","Pass","Fail","Pass","Pass","Pass","localhost","7b802d0a-6f7b-4f39-84de-9f7366406548","False"
"BDSCNBN160S6F03","Online","Pass","Fail","Pass","Pass","Pass","localhost","290d8a61-b0aa-4396-b285-7c08f89653f3","False"
"BDSCNBN160SAACF","Online","Pass","Fail","Pass","Pass","Pass","localhost","aad0d20f-a8cf-44c9-a8ef-6fb29924e061","False"
"BDSCNBNCMDT8CB4","Online","Pass","Fail","Pass","Fail","Pass","localhost","ff7ab31a-a280-49f7-ac3c-79dc5b88055d","False"
"BDSCWKN1FLE7962","Online","Pass","Fail","Pass","Pass","Pass","localhost","68b474a3-55a9-4fbb-9108-a8a057a40259","False"
"BDSCNBN1FLE6D1D","Online","Pass","Fail","Pass","Pass","Pass","localhost","08093301-75ed-48c1-bc16-d35499896499","False"
"BDSCWKN1MCT89BD","Online","Pass","Fail","Pass","Pass","Pass","localhost","99c5fdaa-2b2f-44ec-98c7-81bf33b99eeb","False"
"BDSCWKN1MCTBCF6","Online","Pass","Fail","Pass","Pass","Pass","localhost","ad16c076-3086-4e6c-9698-0f7f8d148d33","False"
"BDSCNBNTFMD8B83","Online","Pass","Fail","Pass","Pass","Pass","localhost","a483d470-b346-480a-ba00-8496097b92bb","False"
"BDSCNBNTFMD9951","Online","Pass","Fail","Pass","Pass","Pass","localhost","3846ecd9-458d-4595-8be1-4a76cf069990","False"
